entry_time,entry_price,entry_deal,entry_order,exit_time,exit_price,exit_deal,profit,commission,swap,outcome,required_state_timestamp,state_timestamp,continuity_segment_id,state_at_entry,p_S0,p_S1,p_S2,max_posterior,posterior_entropy,posterior_margin,state_age,bars_since_transition,state_match_status,state_diagnostic_reason,missing_features
2025-01-29 13:11:27+00:00,1.03902,104,163,2025-01-29 14:08:19+00:00,1.03953,105,0.49,0.0,0.0,WIN,2025-01-29 13:00:00+00:00,2025-01-29 13:00:00+00:00,4.0,S2,3.7499039981693017e-06,1.5290716739053184e-10,0.9999962499430939,0.9999962499430939,5.0603982528314374e-05,0.9999925000390957,22.0,21.0,MATCHED,MATCHED,[]
2025-01-29 21:00:00+00:00,1.04107,106,166,2025-01-29 21:13:02+00:00,1.0416,107,0.51,0.0,0.0,WIN,2025-01-29 21:00:00+00:00,2025-01-29 21:00:00+00:00,4.0,S2,0.02331828845065591,0.0018456958713530464,0.9748360156779909,0.9748360156779909,0.12410534139497759,0.9515177272273351,3.0,2.0,MATCHED,MATCHED,[]
2025-01-30 04:40:12+00:00,1.04185,108,168,2025-01-30 07:59:51+00:00,1.04235,109,0.48,0.0,0.0,WIN,2025-01-30 04:30:00+00:00,2025-01-30 04:30:00+00:00,4.0,S1,1.2132464644193701e-06,0.6171753770723237,0.382823409681211,0.6171753770723237,0.6654465749485986,0.23435196739111275,6.0,5.0,MATCHED,MATCHED,[]
2025-01-30 09:03:13+00:00,1.04139,110,170,2025-01-30 13:27:43+00:00,1.04191,111,0.5,0.0,0.0,WIN,2025-01-30 09:00:00+00:00,2025-01-30 09:00:00+00:00,4.0,S1,4.517083937637439e-06,0.6076665325141221,0.39232895040194016,0.6076665325141221,0.6698363248558206,0.2153375821121819,6.0,5.0,MATCHED,MATCHED,[]
2025-01-30 20:38:16+00:00,1.04107,112,174,2025-01-31 09:01:47+00:00,1.03708,113,-3.93,0.0,-0.08,LOSS,2025-01-30 20:30:00+00:00,2025-01-30 20:30:00+00:00,4.0,S1,8.849854282296983e-06,0.9993619519948667,0.0006291981508510472,0.9993619519948667,0.005378673476919964,0.9987327538440156,8.0,7.0,MATCHED,MATCHED,[]
2025-01-31 14:12:04+00:00,1.03708,114,177,2025-01-31 14:26:14+00:00,1.03759,115,0.49,0.0,0.0,WIN,2025-01-31 14:00:00+00:00,2025-01-31 14:00:00+00:00,4.0,S1,3.2284385165193687e-06,0.9116820803886363,0.08831469117284795,0.9116820803886363,0.2986649441568851,0.8233673892157883,6.0,5.0,MATCHED,MATCHED,[]
2025-01-31 18:33:36+00:00,1.0365,116,179,2025-01-31 18:35:29+00:00,1.037,117,0.48,0.0,0.0,WIN,2025-01-31 18:30:00+00:00,2025-01-31 18:30:00+00:00,4.0,S0,0.999999999990024,6.647706629471593e-14,9.909648689197723e-12,0.999999999990024,2.6307890653785616e-10,0.9999999999801144,1.0,0.0,MATCHED,MATCHED,[]
2025-01-31 21:11:38+00:00,1.0353,118,181,2025-01-31 21:15:23+00:00,1.03581,119,0.49,0.0,0.0,WIN,2025-01-31 21:00:00+00:00,2025-01-31 21:00:00+00:00,4.0,S0,0.5907497669440154,4.200940690867238e-07,0.4092498129619152,0.5907497669440154,0.6765907082833567,0.18149995398210017,1.0,0.0,MATCHED,MATCHED,[]
2025-02-03 02:07:12+00:00,1.02237,120,183,2025-02-03 02:14:21+00:00,1.02291,121,0.53,0.0,0.0,WIN,2025-02-03 02:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SPECIFIC_FEATURE_INCOMPLETE,"[""h1_atr_change_4"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-02-03 08:00:27+00:00,1.02228,122,186,2025-02-03 08:19:37+00:00,1.02279,123,0.5,0.0,0.0,WIN,2025-02-03 08:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-02-04 05:06:27+00:00,1.02895,124,194,2025-02-04 05:50:01+00:00,1.02949,125,0.52,0.0,0.0,WIN,2025-02-04 05:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-02-04 23:50:50+00:00,1.03742,126,201,2025-02-05 00:33:07+00:00,1.03793,127,0.41,0.0,-0.08,WIN,2025-02-04 23:45:00+00:00,2025-02-04 23:45:00+00:00,5.0,S1,1.8130813790558402e-06,0.9233667641210174,0.07663142279760439,0.9233667641210174,0.27048967843110994,0.846735341323413,1.0,0.0,MATCHED,MATCHED,[]
2025-02-05 23:02:11+00:00,1.04014,128,210,2025-02-06 08:32:18+00:00,1.03614,129,-4.1,0.0,-0.24,LOSS,2025-02-05 23:00:00+00:00,2025-02-05 23:00:00+00:00,5.0,S2,2.1010134208787915e-06,6.492520986828723e-06,0.9999914064655927,0.9999914064655927,0.00011361248863064455,0.9999849139446059,20.0,19.0,MATCHED,MATCHED,[]
2025-02-07 00:36:40+00:00,1.03809,130,216,2025-02-07 01:55:18+00:00,1.0386,131,0.49,0.0,0.0,WIN,2025-02-07 00:30:00+00:00,2025-02-07 00:30:00+00:00,5.0,S2,4.676596971972078e-06,0.03487426659475211,0.9651210568082753,0.9651210568082753,0.15135912086038866,0.9302467902135232,1.0,0.0,MATCHED,MATCHED,[]
