period,state,variable,WIN_N,WIN_total,WIN_missing,WIN_mean,WIN_median,WIN_q25,WIN_q75,WIN_IQR,LOSS_N,LOSS_total,LOSS_missing,LOSS_mean,LOSS_median,LOSS_q25,LOSS_q75,LOSS_IQR,mean_difference,median_difference,cliffs_delta,hedges_g
2020,S1,max_posterior,121,121,0,0.9135045066356502,0.9955825908854644,0.8863091971989944,0.9999300974024228,0.11362090020342841,1,1,0,0.5134731272854743,0.5134731272854743,0.5134731272854743,0.5134731272854743,0.0,-0.40003137935017585,-0.4821094635999901,-0.9834710743801653,
2020,S1,posterior_margin,121,121,0,0.8278768191227984,0.9911651817709354,0.7726193646924813,0.9998670604659584,0.22724769577347714,1,1,0,0.0269490608828613,0.0269490608828613,0.0269490608828613,0.0269490608828613,0.0,-0.8009277582399371,-0.9642161208880741,-1.0,
2020,S1,posterior_entropy,121,121,0,0.19157877722572506,0.0314037593493368,0.0007612058432506,0.3541752443945072,0.3534140385512566,1,1,0,0.6928207456334337,0.6928207456334337,0.6928207456334337,0.6928207456334337,0.0,0.5012419684077086,0.6614169862840968,0.9669421487603306,
2020,S2,state_age,186,186,0,11.623655913978494,9.0,3.0,14.0,11.0,30,30,0,11.166666666666666,9.5,6.0,14.0,8.0,-0.456989247311828,0.5,0.09032258064516129,-0.04361260374501989
2020,S2,bars_since_transition,178,186,8,10.584269662921349,8.0,2.0,13.0,11.0,28,30,2,10.785714285714286,9.0,5.75,13.0,7.25,0.20144462279293762,1.0,0.14065008025682182,0.01925596091049022
2020,S2,max_posterior,186,186,0,0.9493851398182939,0.9991966754261334,0.9728272380128558,0.9999780880505831,0.027150850037727325,30,30,0,0.9932294171616768,0.9999322574056377,0.9993963794452304,0.9999820596150528,0.0005856801698224112,0.04384427734338292,0.0007355819795042962,0.23799283154121864,0.4325260051433166
2020,S2,posterior_margin,186,186,0,0.8989263544679248,0.9983948476282646,0.9456744313221822,0.9999563131134908,0.05428188179130855,30,30,0,0.9864600665334475,0.9998645148112759,0.9987927588904619,0.9999641193667064,0.001171360476244443,0.08753371206552274,0.0014696671830113361,0.23942652329749103,0.4319553046985977
2020,S2,posterior_entropy,186,186,0,0.11896539873418469,0.00653314468972385,0.000257785655081475,0.1249153905140675,0.12465760485898603,30,30,0,0.02832013182916649,0.00071763367416395,0.000213890511886725,0.005063977069295225,0.0048500865574084995,-0.0906452669050182,-0.0058155110155599,-0.23942652329749103,-0.46782958457360857
2021,S0,state_age,5,5,0,4.0,2.0,2.0,6.0,4.0,4,4,0,4.0,3.0,1.75,5.25,3.5,0.0,1.0,0.0,0.0
2021,S0,bars_since_transition,3,5,2,3.0,1.0,0.5,4.5,4.0,4,4,0,3.0,2.0,0.75,4.25,3.5,0.0,1.0,0.08333333333333333,0.0
2021,S0,max_posterior,5,5,0,0.8944482026248851,0.9710400175947564,0.9464984195455768,0.9989673714657084,0.05246895192013157,4,4,0,0.9879816666528373,0.9999997787527193,0.9879814513445035,0.9999999940610529,0.01201854271654934,0.09353346402795215,0.028959761157962838,0.5,0.573530004924661
2021,S0,posterior_margin,5,5,0,0.7888964053414511,0.94208003564702,0.892996839091155,0.9979347429323095,0.10493790384115453,4,4,0,0.9759633333056752,0.9999995575054386,0.9759629026890063,0.9999999881221073,0.024037085433101013,0.18706692796422408,0.05791952185841853,0.5,0.5735300045750852
2021,S0,posterior_entropy,5,5,0,0.2069721814378113,0.1311081764285002,0.0081320852703069,0.2086991275407992,0.2005670422704923,4,4,0,0.04820209178442979,3.478132857368245e-06,1.1672511552395147e-07,0.04820545319217163,0.048205336467056104,-0.15877008965338152,-0.13110469829564284,-0.5,-0.6344529341868904
2021,S1,state_age,106,106,0,10.415094339622641,5.0,2.0,11.0,9.0,1,1,0,36.0,36.0,36.0,36.0,0.0,25.58490566037736,31.0,0.8490566037735849,
2021,S1,bars_since_transition,100,106,6,9.12,4.0,1.0,9.0,8.0,1,1,0,35.0,35.0,35.0,35.0,0.0,25.880000000000003,31.0,0.84,
2021,S1,max_posterior,106,106,0,0.9081335224661573,0.9853153051708442,0.8451312597710341,0.9998228189548846,0.15469155918385047,1,1,0,0.9983972876535484,0.9983972876535484,0.9983972876535484,0.9983972876535484,0.0,0.0902637651873911,0.013081982482704202,0.24528301886792453,
2021,S1,posterior_margin,106,106,0,0.8180488254684668,0.9706363447351762,0.6902914628065266,0.9996499769298324,0.30935851412330573,1,1,0,0.9968138253368328,0.9968138253368328,0.9968138253368328,0.9968138253368328,0.0,0.17876499986836603,0.02617748060165659,0.24528301886792453,
2021,S1,posterior_entropy,106,106,0,0.21256922305822645,0.07658799894426499,0.0016998067663363749,0.4312906468180365,0.4295908400517002,1,1,0,0.0120208331616421,0.0120208331616421,0.0120208331616421,0.0120208331616421,0.0,-0.20054838989658436,-0.06456716578262289,-0.24528301886792453,
2021,S2,state_age,167,167,0,11.874251497005988,8.0,4.0,16.0,12.0,35,35,0,10.228571428571428,10.0,7.0,12.5,5.5,-1.6456800684345598,2.0,0.06364414029084688,-0.14179402347494582
2021,S2,bars_since_transition,156,167,11,9.884615384615385,7.0,2.0,13.0,11.0,31,35,4,9.129032258064516,9.0,6.5,11.5,5.0,-0.755583126550869,2.0,0.11497105045492143,-0.07292844646045929
2021,S2,max_posterior,167,167,0,0.9529743124792819,0.9998355860722008,0.9725034616457893,0.9999892179844584,0.02748575633866912,35,35,0,0.9710150990068042,0.9999858410883484,0.9993418330800212,0.9999960028529474,0.0006541697729262053,0.01804078652752228,0.00015025501614762682,0.2636441402908469,0.17028649456887546
2021,S2,posterior_margin,167,167,0,0.9065961408638487,0.99967756748383,0.9451165966729269,0.9999784359701137,0.0548618392971868,35,35,0,0.9420314353832828,0.9999716821767124,0.9986856202278847,0.999992005811358,0.0013063855834734017,0.03543529451943417,0.0002941146928824301,0.25988023952095807,0.16846552106655077
2021,S2,posterior_entropy,167,167,0,0.11237566071988357,0.0016239930595353,0.00013404701659185,0.12634457324658416,0.12621052622999232,35,35,0,0.05121114807498428,0.00017224541547,5.3670934031701564e-05,0.0054108027781,0.005357131844068299,-0.06116451264489929,-0.0014517476440653,-0.2663815226689478,-0.3086099643692364
2022,S0,state_age,16,16,0,6.3125,4.5,1.0,10.5,9.5,8,8,0,7.375,7.5,3.25,12.0,8.75,1.0625,3.0,0.140625,0.18488674100645225
2022,S0,bars_since_transition,15,16,1,5.466666666666667,4.0,0.0,10.0,10.0,8,8,0,6.375,6.5,2.25,11.0,8.75,0.9083333333333332,2.5,0.13333333333333333,0.1548134738148235
2022,S0,max_posterior,16,16,0,0.9699998309960078,0.9999998720618223,0.9995864999598798,0.9999999999733964,0.00041350001351658783,8,8,0,0.9540232356487701,0.9996431350052086,0.9632593924465029,0.9999998599393815,0.036740467492878515,-0.01597659534723772,-0.00035673705661365407,-0.2734375,-0.20562656404881371
